A,B,C,D
1.0,12.0,-10.990000000670552,183.01999999910592
2.0,7.0,-4.9199999985098835,103.19999999880791
3.0,39.0,1.3299999940395355,615.0099999993295
4.0,21.0,7.15000000178814,327.34000001430513
5.0,34.0,13.050000000298024,535.1699999976158
6.0,15.0,19.299999992847443,231.310000013113
7.0,1.0,25.18999999344349,7.019999999105931
8.0,38.0,31.290000002384186,599.2100000041723
9.0,23.0,37.32999999403953,359.089999999404
10.0,6.0,43.150000001788136,87.15000000178814
11.0,6.0,49.29999999284744,87.32999999403954
12.0,13.0,55.13999999642372,199.050000000298
13.0,2.0,61.01999999910593,23.210000004172326
14.0,27.0,67.34000001430512,423.29999999284746
15.0,28.0,73.29999999284745,439.089999999404
16.0,8.0,78.99999999955297,119.23999999046326
17.0,27.0,85.16999999761582,423.16999999761583
18.0,37.0,91.32000000357628,583.1899999934435
19.0,25.0,96.98999999977649,391.089999999404
20.0,2.0,103.35999999523163,23.239999990463257
21.0,38.0,109.05000000029803,598.9899999997765
22.0,37.0,115.13999999642373,582.98
23.0,14.0,121.05000000029803,215.23999999046325
24.0,36.0,127.05999999821186,566.98
25.0,32.0,133.26000000119208,503.0300000007451
26.0,28.0,139.07000000357627,439.089999999404
27.0,22.0,144.99999999955295,343.12000000059606
28.0,32.0,151.0800000014901,503.0399999986589
29.0,25.0,158.0,391.35999999523165
30.0,30.0,163.310000013113,471.0999999973178
31.0,4.0,169.08999999940394,55.13999999642372
32.0,34.0,175.21999999463557,535.3400000143051
33.0,2.0,181.03999999865889,23.369999985694886
34.0,2.0,187.23999999046325,23.120000000596047
35.0,8.0,193.35000000476836,119.26999999165535
36.0,35.0,199.03999999865889,551.23
37.0,13.0,204.98,199.18000000298022
38.0,36.0,211.01999999910592,567.1099999952316
39.0,18.0,217.05999999821185,279.10999999523165
40.0,31.0,223.1999999988079,487.23
41.0,35.0,229.10999999523162,551.0399999986589
42.0,20.0,235.26999999165534,310.9899999997765
43.0,34.0,241.15000000178813,535.23
44.0,26.0,247.21000000417231,407.1300000059605
45.0,13.0,253.23999999046325,199.26999999165534
46.0,27.0,259.1999999988079,423.13999999642374
47.0,10.0,265.26999999165537,151.13000000596045
48.0,5.0,271.21000000417234,71.29000000238419
49.0,19.0,277.089999999404,295.29999999284746
50.0,18.0,283.0300000007451,279.1999999988079
51.0,17.0,289.1999999988079,263.01999999910595
52.0,27.0,295.01999999910595,423.35999999523165
53.0,5.0,300.98,71.13999999642373
54.0,30.0,307.0599999982119,471.2900000023842
55.0,3.0,313.089999999404,39.189999993443486
56.0,18.0,319.3699999856949,279.26999999165537
57.0,31.0,325.2600000011921,487.25000001072885
58.0,35.0,331.28000001192095,551.0800000014901
59.0,24.0,337.25000001072885,375.25000001072885
60.0,29.0,343.34000001430513,455.2600000011921
61.0,4.0,349.18000000298025,55.09999999731779
62.0,18.0,355.21000000417234,278.999999999553
63.0,33.0,361.1899999934435,519.089999999404
64.0,17.0,367.10999999523165,263.21000000417234
65.0,26.0,373.3200000035763,407.05000000029804
66.0,8.0,379.00999999932947,119.08999999940396
67.0,3.0,385.13999999642374,39.26999999165535
68.0,3.0,391.0300000007451,39.29999999284744
69.0,29.0,397.1899999934435,455.32999999403955
70.0,29.0,403.13999999642374,455.1999999988079
71.0,2.0,409.08000000149013,23.01999999910593
72.0,36.0,415.31000001311304,567.1399999964237
73.0,16.0,421.12000000059606,247.0800000014901
74.0,29.0,427.0300000007451,455.1600000071526
75.0,23.0,433.05000000029804,359.0999999973178
76.0,7.0,439.0700000035763,103.16999999761582
77.0,22.0,445.2199999946356,343.25000001072885
78.0,23.0,451.08000000149013,359.13999999642374
79.0,21.0,457.2199999946356,326.9899999997765
80.0,8.0,463.18000000298025,119.13999999642373
81.0,22.0,469.32999999403955,343.05000000029804
82.0,31.0,475.3200000035763,487.089999999404
83.0,21.0,481.3500000047684,327.01999999910595
84.0,34.0,487.3200000035763,534.999999999553
85.0,21.0,493.35999999523165,327.15000000178816
86.0,2.0,499.13999999642374,23.310000013113022
87.0,26.0,505.15000000178816,406.98
88.0,4.0,511.0999999973178,55.280000011920926
89.0,13.0,517.1399999964237,199.28000001192092
90.0,23.0,523.0399999986589,359.15000000178816
91.0,32.0,529.23,503.2399999904633
92.0,24.0,535.2100000041723,375.0700000035763
93.0,2.0,541.0099999993295,23.18999999344349
94.0,12.0,547.1999999988079,183.00999999932944
95.0,22.0,553.2199999946356,342.98
96.0,17.0,559.1999999988079,263.1899999934435
97.0,21.0,565.1899999934435,326.9899999997765
98.0,36.0,571.2900000023842,567.1099999952316
99.0,35.0,577.0800000014901,551.3699999856949
100.0,23.0,583.0399999986589,359.0599999982119
